UID,Hotel,Overall Rating,Overall Polarity,Latitude,Longitude
5,Fullerton,4.5,0.944955,1.286707,103.853046
6,Fullerton Bay,5,0.930081,1.283539,103.853606
4,Four Seasons,4.5,0.906843,1.305675,103.828333
9,JW Marriott South Beach,4.5,0.888356,1.294769,103.855793
11,One Farrer Hotel,4.5,0.886362,1.312846,103.854362
16,Ritz Carlton,4.5,0.883213,1.290947,103.860026
2,Fairmont,4.5,0.881887,1.294405,103.85369
13,Park Hotel,4,0.878046,1.291757,103.842344
12,Pan Pacific,4.5,0.865694,1.292707,103.858574
1,Crowne Plaza,4.5,0.85339,1.358861,103.987989
