Review ,Rating,Polarity
"Originally planned for a 2D1N staycation but extended it to be 3D2N. Had a great time cycling by Changi Beach and enjoying the various eateries. Would love to explore Ubin if we had more time.   The breakfast buffet is quite small but sufficient. Friendly &amp; helpful staff around.   Swimming pool was pleasantly warm. Despite the breeze, the water wasn't freezing like some other hotels that we've been at.   Overall, a simple staycation while celebrating my husband's birthday. Had a wonderful family time!",4,0.9921
"My wife and myself had another very pleasant stay at the hotel. I think this is our fourth stay and it didn't disappoint. The location is very good, close to sparsely occupied clean beaches, nature trails, local and international food outlets. A welcome change from the bustle of Clarke quay. The staff in the hotel are very pleasant and helpful, with a special mention to Benjamin and the staff in the club lounge. I would recommend taking advantage of the club lounge as this gives you a chance to meet fellow travelers and exchange experiences. The hotel also offers other bonuses such as late check-out and shuttle services to the airport and city. Hopefully we'll be back in later this year for another pleasant stay.",5,0.9895
"Book a Deluxe room, requested for smoking room and advice that this reservation was a birthday celebration for me. We managed to get a smoking room on Level 4. A little disappointed with the room as it was not as clean as the other reservations we made at this same hotel. The hair dryer was not working too , the bed was squeaky when you get on or off the bed. Furthermore it looks like no cleaning has been done for some time under the bed.  Now, we do wonder if we should ever come back here for another gateway or maybe it's time to go somewhere else for our gateway.",3,-0.581
Overall this location is splendid with eating facilties readily available. Changi beach is nearby and overall service is good. A setback is the free access given to members of public as the card readers in the lifts are not working. This allow any members of public to go to any levels. Safety and security are compromised,4,0.9265
Nice hotel with good roof top swimming pool and kids pool downstairs next to the restaurant. Nice quite area with a nearby park and possible trips to Pulau Ubin. Breakfast was good and stocked up without any shortage at any moment we were there ,4,0.9176
"Will update name in future, was told to wait for king size bed but the staff asked me wait for half hr n I m ok but when I return he ask mi wait for another half hr n I waited too but wait till halfway he went off without informing me n I hv to go to the counter n asked another staff then she say yes the rm is ready . Got another bad experience with another staff during previous too",3,0.5927
"Everything was great except the food at salt water. I love the gym, the location, the service but the breakfast was not up to standard in my opinion. I would recommend the hotel for the overall experience but you would do a lot better by skipping the meal and heading to changi village food centre for your meals. ",5,0.9052
"The location may not be in town but it's the airport and it's a relaxing place with easy access to food and other necessities.If you would like to explore nature, you can hop over conveniently to Singapore's offshore island, Pulau Ubin.",5,0.9081
"Room was not available at check-in time. I booked a Queen room but it was not available and front desk didn't try very hard to help me find one. He just allocated a 2 single bed room to me and said housekeeping will put the two beds together. However, houeskeeping never came. The phone was spoilt so I couldn't call room service, housekeeping and front desk at all. There were holes in the blankets. TV reception was poor. Wifi was slow and patchy. The wireless@SG at the nearby food centre was stronger than the hotel wifi.",3,0.6078
Hotel was OK but staff efficiency at counter should be improved as we took more than 30 min just for check in. The swimming pool was all right but water looks abit murky so we didn't enter the pool. The staff were friendly generally. ,3,0.9283
